 o, o,1
 a, a,0.998
 b, b,1
 l, l,0.794
 e, m,0.417
 n, n,1
 w, w,1
 o, o,1
 r, r,0.994
 k, k,1
 a, a,1
 b, b,1
 l, l,0.956
 e, e,0.973
 n, w,0.92
 w, m,1
 o, a,0.992
 r, n,0.439
 k, x,0.779
 a, e,0.736
 b, x,0.926
 l, x,0.993
 e, e,0.992
 n, n,1
 w, w,0.998
 o, o,0.784
 r, r,1
 k, k,1
 a, a,1
 b, b,1
 l, l,0.912
 e, e,1
 n, n,0.997
 w, w,1
 o, o,0.999
 r, l,0.912
 k, k,0.999
 a, a,0.581
 b, u,0.481
 l, l,0.998
 e, a,0.995
 n, n,0.997
 w, w,0.693
 o, g,0.993
 r, n,0.972
 k, d,1
 a, a,1
 b, d,1
 l, y,0.995
 e, a,0.998
 n, n,1
 w, w,1
 o, o,0.655
 r, p,0.75
 k, b,0.647
 a, a,0.974
 b, b,1
 l, l,1
 e, e,1
 n, n,1
 w, m,0.591
 o, o,1
 r, r,0.773
 k, z,0.987
 a, m,0.644
 b, d,1
 l, y,0.904
 e, e,0.999
 n, n,0.952
 w, w,1
 o, o,1
 r, r,0.978
 k, y,0.669
 a, q,0.998
 b, b,0.999
 l, l,0.984
 e, m,0.721
 n, n,1
 w, u,0.814
 o, o,1
 r, r,1
 k, h,0.538
 a, z,0.994
 b, b,1
 l, l,0.884
 e, k,0.997
 n, n,0.984
 w, w,0.999
 o, o,1
 r, r,0.737
 k, k,1
 a, m,1
 b, b,0.999
 l, l,0.968
 e, a,0.936
 n, n,1
 w, w,1
 o, o,1
 r, f,0.923
 k, k,0.834
 a, m,0.996
 b, i,0.936
 l, l,0.996
 e, z,0.557
 n, o,0.607
 w, u,0.978
 o, o,1
 r, r,0.999
 k, p,0.745
 a, g,0.855
 b, b,0.957
 l, i,0.675
 e, e,0.863
 n, s,0.838
 w, u,0.983
 o, o,1
 r, a,0.685
 k, n,0.82
 a, n,0.917
 b, e,0.994
 l, u,1
 e, r,0.754
 n, n,0.977
 w, w,1
 o, o,1
 r, r,0.989
 k, h,0.991
 a, a,1
 b, b,1
 l, l,0.999
 e, p,0.742
 n, n,0.968
 w, w,1
 o, o,1
 r, f,0.979
 k, k,0.993
 a, a,0.999
 b, b,0.803
 l, l,0.561
 e, a,0.941
 n, n,0.995
 w, w,1
 o, o,1
 r, r,0.99
 k, k,0.911
 a, a,1
 b, b,0.518
 l, l,0.927
 e, e,0.917
 n, n,1
 w, w,1
 o, o,0.927
 r, r,1
 k, k,1
 a, o,1
 b, b,1
 l, l,0.882
 e, e,1
 n, n,1
 w, w,1
 o, o,1
 r, r,0.967
 k, b,0.782
 a, a,1
 b, b,0.996
 l, l,0.999
 e, c,0.911
 n, n,1
 w, v,0.704
 o, d,1
 r, p,1
 k, e,0.997
 a, a,1
 b, d,0.987
 l, y,0.998
 e, m,0.562
 n, a,0.768
 w, w,1
 o, o,1
 r, p,0.891
 k, h,0.901
 a, a,0.965
 b, b,1
 l, l,1
 e, m,0.587
 n, n,0.999
 w, w,1
 o, o,1
 r, r,1
 k, h,0.693
 a, m,0.848
 b, b,1
 l, i,0.985
 e, e,1
 n, a,0.983
 w, w,1
 o, o,1
 r, a,0.819
 k, a,0.918
 a, o,1
 b, b,1
 l, l,0.996
 e, m,0.933
 n, n,0.998
 w, w,1
 o, o,1
 r, e,0.998
 k, z,0.529
 a, n,1
 b, b,1
 l, l,0.996
 e, a,0.935
 n, n,0.825
 w, o,0.98
 o, o,1
 r, v,0.996
 k, k,0.999
 a, a,1
 b, b,0.999
 l, l,0.882
 e, e,1
 n, n,0.707
 w, w,1
 o, o,0.943
 r, r,1
 k, f,0.571
 a, a,0.562
 b, s,0.52
 l, r,0.992
 e, e,0.998
 n, a,0.891
 w, w,0.979
 o, o,1
 r, a,0.501
 k, k,0.995
 a, a,1
 b, b,1
 l, l,0.997
 e, c,0.991
 n, k,0.975
 w, w,1
 o, o,1
 r, r,0.951
 k, k,0.67
 a, a,1
 b, b,1
 l, l,0.999
 e, a,0.871
 n, m,0.791
 w, m,0.641
 o, o,1
 r, r,0.671
 k, u,1
 a, m,0.995
 b, u,0.857
 l, l,0.789
 e, a,0.517
 n, v,0.434
 w, w,0.996
 o, g,0.835
 r, e,0.974
 k, x,0.553
 a, o,0.83
 b, g,0.976
 l, c,0.835
 e, e,1
 n, n,1
 w, u,0.966
 o, o,0.984
 r, e,0.807
 k, k,0.938
 a, m,0.853
 b, b,1
 l, l,0.884
 e, e,1
 n, m,0.914
 w, w,1
 o, o,0.989
 r, c,0.93
 k, k,0.969
 a, a,0.685
 b, z,0.993
 l, l,1
 e, m,0.99
 n, n,1
 w, w,1
 o, o,1
 r, r,0.984
 k, k,0.604
 a, a,1
 b, d,0.995
 l, l,0.999
 e, e,1
 n, a,0.548
 w, w,1
 o, o,1
 r, r,1
 k, k,0.976
 a, m,0.977
 b, b,1
 l, l,0.912
 e, z,0.89
 n, n,0.999
 w, w,0.839
 o, g,1
 r, r,0.836
 k, k,1
 a, k,0.801
 b, k,0.856
 l, l,1
 e, e,0.97
 n, n,0.952
 w, w,1
 o, o,1
 r, r,0.851
 k, u,0.757
 a, a,1
 b, b,0.982
 l, l,1
 e, e,0.791
 n, z,0.993
 w, a,0.46
 o, o,0.514
 r, a,0.976
 k, t,0.977
 a, n,0.998
 b, z,0.998
 l, d,0.755
 e, f,0.525
 n, n,0.988
 w, m,0.935
 o, o,1
 r, r,0.9
 k, k,0.859
 a, a,1
 b, b,1
 l, l,0.996
 e, a,0.931
 n, n,0.999
 w, u,1
 o, o,0.969
 r, r,0.541
 k, h,0.64
 a, a,0.994
 b, b,1
 l, l,0.909
 e, a,1
 n, m,0.986
 w, w,0.886
 o, a,0.999
 r, c,0.874
 k, h,0.83
 a, a,0.78
 b, h,0.982
 l, l,0.999
 e, z,0.771
 n, n,0.965
 w, w,1
 o, a,0.509
 r, r,0.97
 k, v,0.98
 a, m,0.92
 b, v,0.597
 l, h,0.668
 e, e,0.889
 n, n,0.504
 w, w,1
 o, o,0.999
 r, n,0.755
 k, k,0.998
 a, a,0.999
 b, b,1
 l, l,0.941
 e, e,0.97
 n, n,0.992
 w, w,1
 o, o,0.98
 r, c,0.9
 k, a,0.876
 a, a,0.921
 b, b,1
 l, l,0.998
 e, e,1
 n, n,0.742
 w, w,1
 o, o,1
 r, p,0.997
 k, l,0.983
 a, m,0.993
 b, b,0.857
 l, l,1
 e, e,0.993
 n, n,1
 w, w,1
 o, o,0.998
 r, r,0.999
 k, k,0.999
 a, a,0.993
 b, b,1
 l, l,0.984
 e, a,0.944
 n, n,1
 w, w,1
 o, o,1
 r, r,1
 k, k,1
 a, a,0.999
 b, b,1
 l, l,0.761
 e, e,0.897
 n, n,0.989
 w, w,1
 o, o,1
 r, c,0.756
 k, h,0.738
 a, a,1
 b, b,1
 l, l,1
 e, a,0.741
 n, m,0.938
 w, w,0.994
 o, o,1
 r, r,0.874
 k, x,0.73
 a, a,0.68
 b, u,0.982
 l, l,1
 e, x,0.671
 n, n,1
 w, w,1
 o, o,1
 r, r,0.995
 k, k,1
 a, a,0.937
 b, b,0.999
 l, l,0.922
 e, e,0.996
 n, a,0.868
 w, w,0.878
 o, m,0.997
 r, z,0.57
 k, u,0.908
 a, a,0.937
 b, u,0.997
 l, l,1
 e, a,0.864
 n, m,1
 w, w,1
 o, o,0.629
 r, r,0.547
 k, v,1
 a, a,1
 b, v,0.867
 l, l,0.995
 e, a,0.925
 n, m,0.951
 w, w,1
 o, o,1
 r, r,1
 k, k,0.837
 a, a,0.985
 b, b,1
 l, l,0.991
 e, e,0.999
 n, o,0.861
 w, a,0.609
 o, o,1
 r, r,0.997
 k, k,0.986
 a, a,0.83
 b, b,0.999
 l, l,1
 e, c,0.996
 n, n,0.992
 w, w,0.997
 o, o,1
 r, r,1
 k, b,0.979
 a, a,1
 b, b,0.897
 l, l,1
 e, e,0.999
 n, m,0.986
 w, w,1
 o, o,1
 r, r,0.998
 k, i,0.485
 a, m,0.996
 b, b,1
 l, l,1
 e, e,0.777
 n, o,0.994
 w, w,1
 o, g,0.851
 r, r,0.786
 k, k,0.891
 a, n,0.992
 b, b,0.8
 l, j,0.916
 e, e,1
 n, z,0.99
 w, u,0.999
 o, o,1
 r, y,0.997
 k, h,0.877
 a, q,0.97
 b, l,0.889
 l, l,0.861
 e, e,0.94
 n, n,0.93
 w, w,1
 o, o,1
 r, r,0.728
 k, a,0.78
 a, m,0.671
 b, u,0.993
 l, l,0.999
 e, a,0.996
 n, m,0.997
 w, m,0.58
 o, o,0.977
 r, r,0.688
 k, k,0.997
 a, m,0.998
 b, b,0.911
 l, l,1
 e, e,1
 n, n,1
 w, w,1
 o, o,0.998
 r, n,0.929
 k, k,1
 a, a,1
 b, b,1
 l, l,1
 e, e,1
 n, n,0.998
 w, w,1
 o, o,1
 r, c,0.846
 k, k,0.997
 a, a,0.976
 b, b,1
 l, l,0.984
 e, e,1
 n, n,0.759
 w, w,1
 o, o,0.913
 r, r,0.555
 k, h,0.892
 a, a,0.98
 b, b,1
 l, l,1
 e, c,0.856
 n, o,0.797
 w, w,1
 o, o,1
 r, r,1
 k, k,1
 a, o,0.84
 b, o,0.973
 l, l,0.991
 e, e,1
 n, n,0.995
 w, m,0.885
 o, o,1
 r, r,0.837
 k, d,0.826
 a, a,1
 b, b,1
 l, l,0.967
 e, e,1
 n, n,0.924
 w, w,1
 o, o,1
 r, c,0.974
 k, k,0.575
 a, n,1
 b, b,0.981
 l, y,0.884
 e, e,0.907
 n, x,0.727
 w, w,1
 o, o,0.987
 r, m,1
 k, x,0.591
 a, a,0.741
 b, z,0.729
 l, u,0.899
 e, a,0.595
 n, n,0.834
 w, w,0.95
 o, a,0.999
 r, r,0.997
 k, k,0.875
 a, a,1
 b, b,0.845
 l, i,0.696
 e, c,0.805
 n, m,1
 w, w,0.768
 o, o,0.999
 r, r,0.968
 k, w,0.968
 a, m,1
 b, u,0.978
 l, l,0.996
 e, m,0.929
 e, c,0.997
 a, a,0.636
 r, r,0.975
 b, v,0.577
 o, a,0.655
 o, a,0.997
 k, z,0.915
 e, e,1
 a, a,0.999
 r, r,0.998
 b, b,0.964
 o, o,1
 o, u,0.545
 k, k,0.942
 e, c,0.705
 a, a,1
 r, r,1
 b, b,1
 o, o,1
 o, o,1
 k, k,0.996
 e, e,0.999
 a, e,0.99
 r, e,0.742
 b, b,0.996
 o, a,0.998
 o, o,1
 k, d,0.998
 e, e,0.972
 a, m,0.999
 r, f,0.626
 b, h,0.801
 o, o,1
 o, o,0.99
 k, a,0.889
 e, e,0.734
 a, a,1
 r, y,0.482
 b, b,0.995
 o, o,0.999
 o, a,0.888
 k, k,1
 e, e,1
 a, a,0.999
 r, r,1
 b, b,1
 o, o,1
 o, o,1
 k, w,0.562
 e, g,0.342
 a, b,0.999
 r, r,0.999
 b, b,1
 o, o,1
 o, o,1
 k, k,0.996
 e, a,0.417
 a, a,1
 r, z,0.997
 b, v,1
 o, o,1
 o, o,1
 k, u,0.479
 e, e,0.964
 a, a,0.999
 r, r,0.675
 b, b,0.638
 o, o,0.99
 o, m,0.628
 k, k,0.41
 e, e,1
 a, a,0.999
 r, r,0.98
 b, b,1
 o, o,1
 o, o,1
 k, b,0.972
 e, p,0.999
 a, g,0.992
 r, r,1
 b, b,1
 o, o,1
 o, o,1
 k, t,0.892
 e, a,0.579
 a, o,0.993
 r, c,0.657
 b, b,1
 o, o,1
 o, o,1
 k, k,0.999
 e, e,1
 a, a,1
 r, r,0.932
 b, b,1
 o, o,1
 o, o,1
 k, b,0.743
 e, a,0.998
 a, m,0.692
 r, p,0.688
 b, b,0.999
 o, o,1
 o, o,1
 k, u,0.977
 e, e,0.97
 a, a,1
 r, r,0.883
 b, b,1
 o, m,0.52
 o, a,0.984
 k, e,0.638
 e, c,1
 a, g,0.759
 r, r,0.971
 b, b,1
 o, o,0.958
 o, o,0.999
 k, k,0.917
 e, e,0.868
 a, a,1
 r, v,0.999
 b, b,1
 o, o,0.571
 o, o,1
 k, f,0.639
 e, e,0.977
 a, k,1
 r, x,0.858
 b, b,1
 o, o,0.988
 o, g,1
 k, k,1
 e, z,0.794
 a, o,0.627
 r, r,0.799
 b, b,0.994
 o, o,1
 o, g,0.671
 k, e,0.979
 e, c,0.593
 a, a,1
 r, r,0.959
 b, b,1
 o, o,1
 o, o,1
 k, k,0.953
 e, e,1
 a, a,1
 r, r,0.641
 b, h,0.822
 o, o,1
 o, o,1
 k, e,0.843
 e, a,0.96
 a, m,0.98
 r, r,0.988
 b, w,0.79
 o, o,1
 o, o,0.732
 k, x,0.949
 e, e,0.563
 a, a,0.998
 r, c,0.563
 b, b,1
 o, o,1
 o, o,1
 k, e,0.897
 e, e,0.998
 a, a,0.994
 r, r,0.967
 b, b,1
 o, o,1
 o, a,0.534
 k, u,1
 e, z,0.989
 a, a,1
 r, m,0.995
 b, b,0.996
 o, a,0.999
 o, w,0.983
 k, w,0.998
 e, e,1
 a, a,0.933
 r, r,0.868
 b, b,1
 o, o,1
 o, o,1
 k, e,0.998
 e, e,0.99
 a, a,1
 r, r,0.988
 b, b,0.999
 o, o,1
 o, o,1
 k, k,0.776
 e, a,0.996
 a, a,0.676
 r, r,1
 b, b,1
 o, m,0.981
 o, e,0.974
 k, k,0.507
 e, z,0.765
 a, m,0.852
 r, r,0.996
 b, b,0.991
 o, m,0.827
 o, a,0.95
 k, x,1
 e, e,0.999
 a, a,1
 r, r,0.84
 b, b,0.999
 o, o,1
 o, o,1
 k, h,0.91
 e, z,0.963
 a, a,1
 r, r,0.995
 b, b,0.999
 o, o,1
 o, o,1
 k, k,0.996
 e, e,0.999
 a, m,0.682
 r, c,0.71
 b, h,0.884
 o, a,0.879
 o, o,1
 k, a,0.797
 e, c,0.862
 a, a,0.963
 r, r,1
 b, b,1
 o, o,1
 o, o,1
 k, k,1
 e, x,0.496
 a, a,0.721
 r, a,0.945
 b, b,1
 o, o,1
 o, o,0.892
 k, m,0.698
 e, e,1
 a, a,0.988
 r, r,1
 b, i,0.877
 o, o,0.995
 o, o,0.989
 k, k,0.995
 e, e,1
 a, a,1
 r, r,0.904
 b, b,1
 o, o,1
 o, o,0.997
 k, e,0.716
 e, b,0.51
 a, a,0.894
 r, k,0.969
 b, s,0.99
 o, o,1
 o, o,1
 k, n,0.992
 e, p,1
 a, a,1
 r, c,0.956
 b, d,0.993
 o, o,1
 o, z,0.967
 k, e,0.606
 e, m,0.998
 a, a,1
 r, r,0.911
 b, b,0.999
 o, a,0.681
 o, o,1
 k, f,0.99
 e, q,0.994
 a, k,0.94
 r, f,0.829
 b, b,1
 o, o,0.996
 o, o,1
 k, b,0.806
 e, p,0.978
 a, a,1
 r, n,1
 b, b,1
 o, g,0.652
 o, g,0.995
 k, k,0.909
 e, e,0.955
 a, a,0.998
 r, a,0.578
 b, b,1
 o, o,1
 o, o,1
 k, x,0.897
 e, p,0.735
 a, a,1
 r, r,1
 b, b,1
 o, o,1
 o, o,1
 k, k,1
 e, r,0.573
 a, e,0.795
 r, r,1
 b, d,1
 o, o,1
 o, g,0.589
 k, f,0.785
 e, t,0.396
 a, m,0.852
 r, m,0.902
 b, u,0.992
 o, m,1
 o, m,0.981
 k, w,0.999
 e, e,1
 a, a,0.989
 r, n,0.909
 b, u,0.969
 o, m,0.887
 o, a,0.997
 k, h,0.944
 e, g,0.738
 a, q,0.99
 r, r,0.993
 b, b,1
 o, o,0.641
 o, o,1
 k, e,0.993
 e, e,0.978
 a, n,0.832
 r, c,0.987
 b, b,1
 o, o,0.994
 o, g,1
 k, k,0.993
 e, e,1
 a, m,0.721
 r, r,0.996
 b, b,1
 o, m,0.89
 o, m,0.557
 k, k,0.864
 e, b,0.98
 a, k,0.952
 r, f,0.733
 b, b,1
 o, g,0.976
 o, g,1
 k, k,1
 e, e,0.538
 a, m,1
 r, m,0.924
 b, h,0.917
 o, m,0.972
 o, m,0.712
 k, v,0.974
 e, m,0.999
 a, m,0.983
 r, m,0.998
 b, b,0.682
 o, a,0.999
 o, a,0.949
 k, h,0.819
 e, p,0.987
 a, a,0.995
 r, p,1
 b, b,1
 o, o,1
 o, o,1
 k, k,0.89
 e, e,0.868
 a, m,0.998
 r, r,0.968
 b, b,0.557
 o, o,0.956
 o, o,1
 k, h,0.934
 e, e,0.97
 a, a,1
 r, c,0.989
 b, b,1
 o, o,1
 o, o,1
 k, k,1
 e, e,0.857
 a, a,1
 r, n,0.557
 b, b,1
 o, o,1
 o, g,0.998
 k, k,0.778
 e, e,1
 a, o,0.987
 r, r,1
 b, b,1
 o, g,0.997
 o, o,1
 k, k,1
 e, p,0.83
 a, n,0.998
 r, a,0.912
 b, e,0.771
 o, o,1
 o, o,1
 k, e,0.528
 e, c,0.856
 a, a,0.999
 r, f,0.895
 b, h,0.736
 o, o,0.962
 o, a,0.956
 k, k,0.785
 e, a,1
 a, m,0.955
 r, r,0.825
 b, b,1
 o, o,0.921
 o, o,1
 k, h,0.987
 e, e,0.913
 a, a,0.99
 r, m,0.995
 b, b,1
 o, z,0.653
 o, o,1
 k, e,0.978
 e, f,0.997
 a, d,1
 r, r,0.997
 b, g,1
 o, o,0.999
 o, o,1
 k, x,0.973
 e, g,0.324
 a, a,1
 r, r,0.846
 b, b,1
 o, o,1
 o, o,1
 k, k,1
 e, e,1
 a, m,0.992
 r, c,0.934
 b, b,0.999
 o, o,1
 o, o,0.899
 k, k,0.999
 e, e,1
 a, g,0.948
 r, r,0.561
 b, s,0.468
 o, g,0.998
 o, g,0.754
 k, b,0.802
 e, e,1
 a, a,0.987
 r, c,0.465
 b, b,1
 o, m,0.923
 o, o,1
 k, k,0.988
 e, e,0.989
 a, e,0.991
 r, p,0.929
 b, b,1
 o, g,1
 o, g,1
 k, k,1
 e, c,0.931
 a, k,0.689
 r, z,0.474
 b, b,1
 o, o,1
 o, m,0.912
 k, k,0.84
 e, e,0.509
 a, m,0.686
 r, m,0.535
 b, b,0.988
 o, o,0.966
 o, a,0.575
 k, h,0.962
 e, e,0.997
 a, a,1
 r, r,0.996
 b, b,1
 o, o,1
 o, o,1
 k, k,0.999
 e, w,0.983
 a, a,0.854
 r, n,0.925
 b, d,1
 o, x,0.948
 o, x,0.818
 k, d,1
 e, e,1
 a, d,1
 r, r,0.933
 b, b,1
 o, a,0.96
 o, a,0.986
 k, d,1
 e, e,1
 a, m,0.71
 r, r,0.99
 b, b,1
 o, o,0.532
 o, o,0.999
 k, e,0.495
 e, e,0.809
 a, a,0.999
 r, r,0.952
 b, d,0.993
 o, o,1
 o, g,0.812
 k, f,0.799
 e, e,1
 a, a,1
 r, r,1
 b, b,1
 o, g,1
 o, g,0.945
 k, k,0.99
 e, m,0.974
 a, a,0.996
 r, m,0.515
 b, d,1
 o, a,0.984
 o, m,0.966
 k, z,0.578
 e, q,0.976
 a, g,1
 r, r,1
 b, t,0.504
 o, o,1
 o, o,1
 k, k,0.989
 e, z,0.96
 a, a,1
 r, m,0.954
 b, b,1
 o, o,0.999
 o, o,1
 k, k,1
 e, e,0.899
 a, m,0.997
 r, t,0.976
 b, b,1
 o, n,0.562
 o, m,0.487
 k, k,0.704
 e, e,0.814
 a, o,0.695
 r, r,1
 b, i,0.997
 o, o,1
 o, o,1
 k, e,0.516
 e, c,0.987
 a, n,0.82
 r, n,0.622
 b, o,0.999
 o, o,1
 o, m,0.966
 k, m,1
 e, e,0.783
 a, a,1
 r, u,0.917
 b, b,1
 o, o,1
 o, o,1
 k, h,0.996
 e, e,1
 a, a,0.655
 r, r,0.999
 b, b,0.979
 o, o,1
 o, o,1
 k, k,0.849
 e, p,0.956
 a, o,0.968
 r, r,1
 b, b,0.922
 o, o,1
 o, o,1
 k, k,1
 e, e,1
 a, o,0.953
 r, r,0.998
 b, b,1
 o, o,1
 o, o,1
 k, b,0.966
 e, m,0.97
 a, a,1
 r, n,0.591
 b, d,0.996
 o, a,0.989
 o, a,0.806
 k, d,0.986
 e, e,0.998
 a, m,0.611
 r, p,0.934
 b, b,1
 o, o,1
 o, o,1
 k, k,0.979
 e, o,0.999
 a, d,0.988
 r, a,0.893
 b, b,1
 o, o,1
 o, a,0.842
 k, k,0.971
 e, e,0.515
 a, a,1
 r, z,0.655
 b, b,1
 o, o,1
 o, o,1
 k, k,1
 e, e,0.576
 a, a,0.942
 r, r,0.994
 b, l,0.797
 o, o,1
 o, a,0.959
 k, e,0.936
 e, e,1
 a, a,1
 r, r,0.922
 b, b,1
 o, o,0.91
 o, o,1
 k, f,0.69
 e, g,0.826
 a, a,1
 r, r,1
 b, b,1
 o, g,0.621
 o, o,1
 k, n,1
 e, e,1
 a, m,0.844
 r, m,0.833
 b, b,0.661
 o, o,1
 o, m,0.521
 k, u,0.909
 e, g,0.999
 a, x,0.696
 r, e,0.865
 b, z,0.998
 o, o,1
 o, o,1
 k, e,0.606
 e, p,0.964
 a, a,0.999
 r, r,1
 b, b,1
 o, o,1
 o, o,1
 k, k,0.992
 e, e,0.998
 a, a,1
 r, r,0.998
 b, z,0.995
 o, o,1
 o, o,1
 k, z,0.988
 e, e,0.931
 a, a,1
 r, n,0.986
 b, b,1
 o, m,0.993
 o, a,0.978
 k, e,0.999
 e, e,0.884
 a, m,1
 r, r,1
 b, b,1
 o, o,1
 o, o,0.999
 k, k,1
 e, e,0.994
 a, a,0.996
 r, k,0.916
 b, b,1
 o, o,1
 o, o,1
 k, k,1
 e, g,0.948
 a, a,0.84
 r, r,0.862
 b, b,0.998
 o, o,1
 o, o,1
 k, e,0.629
 e, e,0.504
 a, n,0.538
 r, x,0.783
 b, z,0.988
 o, o,0.902
 o, o,1
 k, n,0.599
 e, e,1
 a, a,0.999
 r, r,0.992
 b, b,0.995
 o, a,0.915
 o, o,1
 k, k,0.971
 e, c,0.995
 a, a,1
 r, r,0.675
 b, b,1
 o, o,1
 o, o,1
 k, k,0.81
 e, a,0.727
 a, e,0.91
 r, c,0.809
 b, b,0.751
 o, o,0.999
 o, m,0.531
 k, k,0.995
 e, p,0.906
 a, a,0.91
 r, r,1
 b, b,1
 o, o,1
 o, o,1
 k, k,0.996
 e, e,0.803
 a, a,1
 r, r,0.748
 b, h,0.634
 o, m,0.638
 o, o,0.872
 k, u,0.938
 e, e,0.761
 a, a,1
 r, q,0.666
 b, b,0.999
 o, o,1
 o, o,1
 k, k,0.993
 e, e,0.772
 a, a,1
 r, n,0.888
 b, b,1
 o, o,1
 o, o,0.972
 k, k,0.98
 e, z,0.707
 a, a,1
 r, m,0.918
 b, b,1
 o, o,0.946
 o, a,0.868
 k, e,0.998
 e, e,1
 a, a,1
 r, r,0.998
 b, b,1
 o, o,1
 o, o,0.996
 k, f,0.871
 e, c,0.906
 a, a,1
 r, p,1
 b, b,0.95
 o, o,1
 o, o,1
 k, k,0.999
 e, e,1
 a, a,1
 r, r,0.914
 b, o,1
 o, o,1
 o, o,0.984
 k, k,0.952
 e, c,0.972
 a, a,1
 r, e,0.835
 b, b,1
 o, o,1
 o, o,0.998
 k, b,0.991
 e, e,0.993
 a, z,0.954
 r, r,1
 b, v,0.702
 o, m,1
 o, m,0.995
 k, h,0.575
 e, e,0.997
 a, m,0.898
 r, r,0.954
 b, u,0.898
 o, o,1
 o, o,1
 k, n,0.812
 e, e,0.849
 a, d,0.988
 r, r,0.962
 b, q,0.838
 o, a,0.696
 o, w,0.762
 k, h,0.605
 e, c,1
 a, a,0.839
 r, r,1
 b, b,1
 o, o,1
 o, o,1
 k, h,0.977
 e, c,0.999
 a, e,0.386
 r, p,0.858
 b, b,1
 o, o,0.838
 o, o,0.998
 k, k,1
 e, e,0.994
 a, a,0.984
 r, c,0.862
 b, d,0.713
 o, o,1
 o, o,1
 k, b,0.978
 e, d,0.929
 a, a,0.644
 r, r,1
 b, b,1
 o, o,1
 o, o,0.955
 k, k,0.872
 e, z,0.739
 a, m,1
 r, r,0.959
 b, b,0.897
 o, m,0.905
 o, m,0.396
 k, k,0.953
 e, p,1
 a, a,1
 r, r,0.999
 b, b,1
 o, a,0.927
 o, o,1
 k, k,1
 e, e,0.997
 a, a,1
 r, r,1
 b, b,0.999
 o, m,0.976
 o, m,0.69
 k, k,0.973
 e, k,0.954
 a, a,0.995
 r, r,1
 b, b,1
 o, o,1
 o, o,1
 k, b,0.785
 e, e,1
 a, o,1
 r, r,0.999
 b, k,0.832
 o, o,1
 o, o,1
 k, k,0.997
 e, e,1
 a, a,1
 r, r,0.91
 b, b,0.97
 o, o,1
 o, o,1
 k, k,0.995
 e, c,0.998
 a, g,1
 r, c,0.98
 b, b,0.998
 o, o,1
 o, o,0.994
 k, k,0.952
 e, e,1
 a, a,0.91
 r, r,0.994
 b, d,0.99
 o, a,0.899
 o, a,0.978
 k, k,0.491
 e, q,0.604
 a, a,0.9
 r, c,0.892
 b, b,1
 o, e,0.871
 o, o,0.995
 k, k,0.996
 e, a,0.885
 a, m,0.994
 r, m,0.992
 b, u,0.999
 o, a,0.465
 o, m,0.993
 k, m,0.703
 n, n,0.886
 v, w,0.999
 u, u,0.952
 l, l,0.996
 n, n,0.983
 e, m,0.473
 r, r,0.938
 a, m,0.837
 b, b,1
 l, l,0.999
 e, e,0.781
 n, m,0.858
 v, u,0.975
 u, w,0.84
 l, l,0.789
 n, a,1
 e, e,0.983
 r, p,0.92
 a, a,1
 b, u,0.999
 l, l,1
 e, a,0.901
 n, n,1
 v, o,0.989
 u, o,0.999
 l, l,0.999
 n, n,0.471
 e, a,0.876
 r, r,1
 a, m,1
 b, b,0.998
 l, l,0.982
 e, a,0.814
 n, n,0.943
 v, v,0.769
 u, u,0.972
 l, l,0.999
 n, n,1
 e, e,0.983
 r, r,0.549
 a, a,1
 b, b,1
 l, l,0.997
 e, e,0.911
 n, m,0.988
 v, v,1
 u, u,0.998
 l, l,0.98
 n, w,0.999
 e, a,0.989
 r, r,0.8
 a, n,0.65
 b, v,0.525
 l, l,0.998
 e, e,0.479
 n, n,0.999
 v, v,1
 u, u,0.997
 l, l,0.983
 n, n,1
 e, e,1
 r, v,1
 a, o,1
 b, b,1
 l, l,0.819
 e, c,0.923
 n, n,0.998
 v, y,0.995
 u, u,1
 l, l,1
 n, n,0.988
 e, e,0.991
 r, r,1
 a, e,0.617
 b, b,1
 l, l,1
 e, e,0.999
 n, n,1
 v, v,0.994
 u, u,0.825
 l, l,1
 n, n,0.763
 e, a,0.792
 r, r,1
 a, m,0.846
 b, h,0.927
 l, l,1
 e, a,0.894
 n, m,0.998
 v, v,1
 u, u,1
 l, l,0.999
 n, m,0.691
 e, m,0.692
 r, m,0.967
 a, m,0.997
 b, b,0.999
 l, l,1
 e, a,0.51
 n, n,0.882
 v, v,1
 u, u,0.848
 l, l,0.968
 n, n,1
 e, e,0.963
 r, r,1
 a, a,1
 b, b,1
 l, j,1
 e, e,0.834
 n, o,0.629
 v, u,0.998
 u, k,0.994
 l, l,1
 n, n,1
 e, p,0.998
 r, r,1
 a, o,0.793
 b, b,1
 l, l,0.982
 e, e,1
 n, n,0.907
 v, v,1
 u, u,1
 l, l,1
 n, n,0.748
 e, a,0.986
 r, r,0.936
 a, o,0.623
 b, b,0.999
 l, l,0.98
 e, e,0.995
 n, n,0.531
 v, v,1
 u, u,0.963
 l, l,0.943
 n, z,0.665
 e, e,0.996
 r, z,0.716
 a, a,0.999
 b, b,1
 l, l,0.999
 e, e,0.818
 n, n,0.996
 v, v,1
 u, u,0.987
 l, l,0.999
 n, s,0.498
 e, e,0.967
 r, c,0.915
 a, e,0.991
 b, b,1
 l, l,0.989
 e, x,0.486
 n, n,1
 v, v,1
 u, u,0.995
 l, l,1
 n, n,0.992
 e, f,0.71
 r, r,0.863
 a, a,0.696
 b, b,1
 l, l,0.789
 e, z,0.997
 n, n,1
